English,Telugu,MIX CODE (TENGLISH),TRANSLITERATION
It's almost dawn and nothing's happened yet.,ఇది దాదాపు తెల్లవారుజాము మరియు ఇంకా ఏమీ జరగలేదు.          ,"ఇప్పుడు దాదాపు dawn time, ఇంకా ఏం జరగలేదు.",Ippudu dadapu dawn time  inka em jaragaledu.
Is Tom smarter than you?,టామ్ మీ కంటే తెలివిగా ఉన్నారా?          ,టామ్ మీ కంటే smarter గా ఉన్నారా?,Tom mee kante smarter ga unnara?
Don't take their word for it.,దాని కోసం వారి మాటను తీసుకోకండి.          ,వారి మాటను blind గా trust చేయకండి.,Vaari maatanu blind ga trust cheyyakandi.
The air conditioner doesn't work.,ఎయిర్ కండీషనర్ పనిచేయదు.          ,AC పని చేయడం లేదు.,AC pani cheyyadam ledu.
I don't think I've ever been this happy.,నేను ఇంత సంతోషంగా ఉన్నానని నేను అనుకోను.          ,నేను ఇంత happy గా ఉండడమని అనుకోలేదు.,Nenu intha happy ga undadam ani anukoledu.
We don't know where they are now.,వారు ఇప్పుడు ఎక్కడ ఉన్నారో మాకు తెలియదు.          ,వాళ్లు ఇప్పుడు ఎక్కడ ఉన్నారో we don't know.,Vaallu ippudu ekkada unnaro we don't know.
Maybe they will come and maybe they won't.,బహుశా వారు వస్తారు మరియు వారు రాకపోవచ్చు.          ,వాళ్లు may come లేదా may not come.,Vaallu may come lekapote may not come.
I'll see what else needs to be done.,ఇంకా ఏమి చేయాలో నేను చూస్తాను.          ,ఇంకా ఏం చేయాలో I'll check.,Inka em cheyalo I'll check.
If the weather is nice tomorrow  we will have a picnic.,రేపు వాతావరణం బాగుంటే  మాకు పిక్నిక్ ఉంటుంది.        ,weather బాగుంటే మేము picnic కి వెళ్తాము.,Weather bagunte memu picnic ki veltamu.
How many times did you visit your grandparents last year?,గత సంవత్సరం మీరు మీ తాతామామలను ఎన్నిసార్లు సందర్శించారు?          ,మీ grandparents ని last year ఎన్ని times చూశారు?,Mee grandparents ni last year enni times choosaru?
I'm not as brave as Tom.,నేను టామ్ లాగా ధైర్యంగా లేను.          ,నేను Tom లాగే brave లేను.,Nenu Tom lage brave ledu.
In England  in the summer  the sun rises at about 4 a.m.,ఇంగ్లాండ్‌లో  వేసవిలో  ఉదయం 4 గంటలకు సూర్యుడు ఉదయిస్తాడు.      ,England లో summer లో 4 AM కి sun rise అవుతుంది.,England lo summer lo 4 AM ki sun rise avutundi.
Please tell us what happened.,దయచేసి ఏమి జరిగిందో మాకు చెప్పండి.          ,what happened చెప్పండి Please.,What happened cheppandi please.
The police can't stop this.,పోలీసులు దీనిని ఆపలేరు.          ,police దీన్ని stop చేయలేరు.,Police dinni stop cheyyaleru.
She knows nothing about your family.,మీ కుటుంబం గురించి ఆమెకు ఏమీ తెలియదు.          ,ఆమెకు మీ family గురించి ఏమి knowledge లేదు.,Ameku mee family gurinchi emi knowledge ledu.
Tom said that he needed a rest.,తనకు విశ్రాంతి అవసరమని టామ్ చెప్పాడు.          ,టామ్ చెప్పాడు అతనికి rest అవసరం.,Tom cheppadu ataniki rest avasaram.
We're going to be here all afternoon.,మేము మధ్యాహ్నం అంతా ఇక్కడే ఉండబోతున్నాం.          ,మేము full afternoon ఇక్కడే ఉండబోతున్నాం.,Memu full afternoon ikkade undabotunnam.
It may rain tomorrow.,రేపు వర్షం పడవచ్చు.          ,రేపు వర్షం పడవచ్చు may rain.,Repu varsham padavachu may rain.
Don't ruin our fun.,మా సరదాని నాశనం చేయవద్దు.          ,మా fun ruin చేయొద్దు.,Maa fun ruin cheyoddu.
I demand that he be punished.,అతన్ని శిక్షించాలని నేను కోరుతున్నాను.          ,అతన్ని punish చేయాలని నేను demand చేస్తున్నాను.,Atani punish cheyyamani nenu demand chestunnanu.
Nobody's going anywhere.,ఎవరూ ఎక్కడికి వెళ్ళడం లేదు.          ,ఎవరూ ఎక్కడికి go లేదు.,Evaru ekkadiki go ledu.
That man is dead.,ఆ మనిషి చనిపోయాడు.          ,ఆ man dead అయిపోయాడు.,Aa man dead ayyipoyadu.
Tom doesn't want this.,టామ్‌కు ఇది అక్కరలేదు.          ,Tom ఇది అవసరం లేదు.,Tom ki idi avasaram ledu.
Tom put on his black suit and white tie.,టామ్ తన బ్లాక్ సూట్ మరియు వైట్ టై ధరించాడు.          ,టామ్ black suit మరియు white tie వేసుకున్నాడు.,Tom black suit mariyu white tie vesukunnadu.
You always said you wanted to become a teacher.,మీరు గురువు కావాలని మీరు ఎప్పుడూ చెప్పారు.          ,మీరు teacher అవ్వాలని ఎప్పుడూ wish చేసారు.,Meeru teacher avvalani eppudu wish chestharu.
Tom said that he felt cold.,టామ్ తనకు చలిగా అనిపించింది.          ,టామ్ చెప్పాడు cold గా ఉందని.,Tom cheppadu cold ga undani.
I slept late and I missed the first train.,నేను ఆలస్యంగా నిద్రపోయాను మరియు నేను మొదటి రైలును కోల్పోయాను.          ,నేను late గా నిద్రపోయి first train miss చేసాను.,Nenu late ga nidrapoyi first train miss chesanu.
We're a little early.,మేము కొంచెం ముందుగానే ఉన్నాము.          ,మేము little early వచ్చాం.,Memu little early vacham.
Tom buys me things that I want.,టామ్ నాకు కావలసిన వస్తువులను కొంటాడు.          ,టామ్ నాకు కావలసిన items కొంటాడు.,Tom naaku kavalsina items kontadu.
Does that window open?,ఆ విండో తెరుచుకుంటుందా?          ,ఆ window open అవుతుందా?,Aa window open avutundaa?
How many English words do you know?,మీకు ఎన్ని ఆంగ్ల పదాలు తెలుసు?          ,మీకు ఎన్ని English words తెలుసు?,Meeku enni English words telusu?
You're welcome to any book in my library.,నా లైబ్రరీలోని ఏదైనా పుస్తకానికి మీకు స్వాగతం.          ,నా library లో ఏ book అయినా మీరు తీసుకోవచ్చు.,Naa library lo ae book aina meeru teesukovachu.
I wish I were rich.,నేను ధనవంతుడిని అని కోరుకుంటున్నాను.          ,I wish నేను rich ఉన్నానని.,I wish nenu rich unnanani.
Are you going or not?,మీరు వెళ్తున్నారా లేదా?          ,మీరు going అవుతున్నారు లేదా?,Meeru going avuthunnara leda?
We're not accusing you of anything.,మేము మీపై ఏమీ ఆరోపణలు చేయడం లేదు.          ,మేము మీపై ఏమీ accusing చేయడం లేదు.,Memu meepai emi accusing cheyadam ledu.
I couldn't eat fish when I was a child.,నేను చిన్నతనంలో చేపలు తినలేను.          ,నేను childhood లో fish తినలేను.,Nenu childhood lo fish tinalenu.
Tom wants to say hello.,టామ్ హలో చెప్పాలనుకుంటున్నాడు.          ,Tom hello చెప్పాలనుకుంటున్నాడు.,Tom hello cheppalanukuntunnadu.
Are you saying this doesn't matter?,ఇది పట్టింపు లేదని మీరు చెబుతున్నారా?          ,ఇది matter కాదు అని మీరు చెబుతున్నారా?,Idi matter kaadu ani meeru chebutunnara?
I've heard that you shouldn't eat red meat more than once a day.,మీరు ఎర్ర మాంసం రోజుకు ఒకటి కంటే ఎక్కువసార్లు తినకూడదని విన్నాను.          ,మీరు red meat daily ఒక్కసారి కన్నా ఎక్కువసార్లు తినకూడదని విన్నాను.,Meeru red meat daily okkasari kanna ekkuva tinakudadani vinnanu.
I don't know why I even bother anymore.,నేను ఇక ఎందుకు బాధపడుతున్నానో నాకు తెలియదు.          ,నేను ఇక enduku bother అవుతున్నానో నాకు తెలియదు.,Nenu ika enduku bother avutunnano naaku theliyadu.
She was in the hospital for six weeks because she was sick.,ఆమె అనారోగ్యంతో ఆరు వారాలపాటు ఆసుపత్రిలో ఉంది.          ,ఆమె sick ఉండి 6 weeks hospital లో admission లో ఉంది.,Aame sick undi 6 weeks hospital lo admission lo undi.
You and I should stick together.,మీరు మరియు నేను కలిసి ఉండాలి.          ,You and నేను కలిసి ఉండాలి.,You and nenu kalisi undaali.
About how much will it cost?,దీని ధర ఎంత?          ,దీని cost ఎంత అవుతుంది?,Deeni cost entha avutundi?
Tom let me stay with Mary.,టామ్ నన్ను మేరీతో కలిసి ఉండనివ్వండి.          ,Tom నన్ను Mary తో stay ఉండనివ్వండి,Tom nannu Mary tho stay undanivandi.
I know I deserve this.,నేను దీనికి అర్హుడని నాకు తెలుసు.          ,I know నేను దీనికి deserve అవుతానని,I know nenu deeni ki deserve avutaanani.
Let's talk about your work.,మీ పని గురించి మాట్లాడుకుందాం.          ,నీ work గురించి మాట్లాడుకుందాం.,Nee work gurinchi maatladukundam.
Tom cut his sister a piece of cake.,టామ్ తన సోదరికి కేక్ ముక్కను కత్తిరించాడు.          ,Tom తన sister కి cake ముక్క cut చేశాడు.,Tom tana sister ki cake mukka cut chesadu.
Is everyone against him?,అందరూ ఆయనకు వ్యతిరేకంగా ఉన్నారా?          ,అందరూ ఆయనకి against ఉన్నారా?,Andaru aayanaki against unnara?
I'll be in the basement.,నేను నేలమాళిగలో ఉంటాను.          ,నేను basement లో ఉంటాను.,Nenu basement lo untanu.
I want Tom to read this.,టామ్ దీన్ని చదవాలని నేను కోరుకుంటున్నాను.          ,Tom దీన్ని read చేయాలని నేను అనుకుంటున్నాను.,Tom deeni read cheyyalani nenu anukuntunnanu.
Don't make eye contact.,కంటికి పరిచయం చేయవద్దు.          ,Eye contact  చేయవద్దు.,Eye contact cheyavadu
Could you tell me where Tom is?,టామ్ ఎక్కడ ఉన్నారో మీరు నాకు చెప్పగలరా?          ,మీరు చెప్పగలరా Tom ఎక్కడ ఉన్నాడో?,Meeru cheppagalara Tom ekkada unnado?
You're my boss.,నువ్వు నా బాస్.          ,నువ్వు నా boss.,Nuvvu naa boss.
Never hesitate to tell the truth.,నిజం చెప్పడానికి ఎప్పుడూ వెనుకాడరు.          ,Truth చెప్పడానికి ఎప్పుడూ hesitate అవకండి.,Truth cheppadaniki eppudu hesitate avakandi.
Tom has got nowhere to go.,టామ్ ఎక్కడికి వెళ్ళలేదు.          ,Tomకి velladaniki place లేదు.,Tomki velladaniki place ledu.
Tom is their leader.,టామ్ వారి నాయకుడు.          ,Tom వారి  leader.,Tom vaari leader
The lighting blinded me for a while.,లైటింగ్ కాసేపు నన్ను కళ్ళుమూసుకుంది.          ,Lighting కాసేపు నన్ను blind చేసింది.,Lighting kaasepu nannu blind chesindi.
Could you show me this bag?,మీరు ఈ బ్యాగ్ నాకు చూపించగలరా?          ,ఈ bag చూపించగలరా నాకు?,Ee bag choopinchagalara naaku?
Tom and I are planning on getting married on October 20th.,టామ్ మరియు నేను అక్టోబర్ 20 న వివాహం చేసుకోవాలని యోచిస్తున్నాము.          ,Tom మరియు నేను October 20thకి marriage plan చేస్తున్నాం,Tom mariyu nenu October 20th ki marriage plan chestunnam.
I've been to the supermarket.,నేను సూపర్ మార్కెట్‌కు వెళ్లాను.          ,నేను supermarketకి వెళ్లాను.,Nenu supermarket ki vellanu.
He is now almost as tall as his father is.,అతను ఇప్పుడు తన తండ్రి ఉన్నంత ఎత్తులో ఉన్నాడు.          ,ఇప్పుడు అతను తన father ఎత్తు level లో ఉన్నాడు.,Ippudu athanu tana father etthu level lo unnadu.
I was unable to control myself any longer.,నేను ఇకపై నన్ను నియంత్రించలేకపోయాను.          ,నేను ఇక self control చెయ్యలేకపోయాను.,Nenu ika self control cheyyalekapoyanu.
Try doing that again.,మళ్ళీ అలా ప్రయత్నించండి.          ,మళ్లీ attempt చేయండి.,Mallee attempt cheyyandi.
This dish is too spicy.,ఈ వంటకం చాలా కారంగా ఉంటుంది.          ,ఈ dish చాలా spicy ఉంది.,Ee dish chaala spicy undi.
Tom told me I shouldn't talk to you.,నేను మీతో మాట్లాడకూడదని టామ్ చెప్పాడు.          ,Tom నాకు నిన్ను contact చేయకూడదని చెప్పాడు.         .,Tom naaku ninnu contact cheyakudadani cheppadu.
How many people are on board the ship?,ఓడలో ఎంత మంది ఉన్నారు?          ,Ship లో total ఎంత మంది ఉన్నారు?,Ship lo total entha mandi unnaru?
Was that Tom you were just talking to?,ఆ టామ్ మీరు ఇప్పుడే మాట్లాడుతున్నారా?          ,Just now మీరు మాట్లాడినవాడు Tom అన్నమాటా?,Just now meeru maatladinavadu Tom annamaataa?
Don't tell my wife that.,నా భార్యకు అలా చెప్పకండి.          ,నా wife కి అలా చెప్పకండి..,Naa wife ki alaa cheppakandi.
Tom looked out the window and saw Mary.,టామ్ కిటికీలోంచి చూస్తూ మేరీని చూశాడు.          ,Tom window నుంచి chusi Mary ni చూశాడు.,Tom window nunchi choosi Mary ni choosadu.
Tom is most likely eating now.,టామ్ ఇప్పుడు ఎక్కువగా తినడం.          ,Tom ippudu probably food తింటున్నాడు.,Tom ippudu probably food tintunnadu.
Can you translate this manuscript from French to English?,మీరు ఈ మాన్యుస్క్రిప్ట్‌ను ఫ్రెంచ్ నుండి ఇంగ్లీషులోకి అనువదించగలరా?          ,Ee manuscript French నుండి English కి translate చేయగలరా?,Ee manuscript French nunchi English ki translate cheyagalara?
The only spice Tom puts on meat is pepper.,టామ్ మాంసం మీద ఉంచే మసాలా మిరియాలు మాత్రమే.          ,Tom meat మీద పెట్టేది pepper మాత్రమే.,Tom meat meeda pettedi pepper maatrame.
Tom says his left leg hurts.,తన ఎడమ కాలు బాధిస్తుందని టామ్ చెప్పాడు.          ,Tom cheppadu his left leg pain చేస్తుందని.,Tom cheppadu his left leg pain chestundani.
I heard that he left town and moved east.,అతను పట్టణం వదిలి తూర్పుకు వెళ్ళాడని నేను విన్నాను.          ,అతను town వదిలి east వెళ్ళాడని విన్నాను.,Atanu town vadili east velladani vinnanu.
We were kids together.,మేము కలిసి పిల్లలు.          ,మేమిద్దరం kids time లో కలిసి ఉన్నాం.,Memiddaram kids time lo kalisi unnaam.
Isn't that the Golden Gate Bridge?,అది గోల్డెన్ గేట్ వంతెన కాదా?          ,అది Golden Gate Bridge కాదు?,Adi Golden Gate Bridge kaada?
There's almost no milk left in the glass.,గాజులో దాదాపు పాలు లేవు.          ,Glass లో milk almost అయిపోయింది.,Glass lo milk almost ayipoyindi.
Tom called me this afternoon.,టామ్ ఈ మధ్యాహ్నం నన్ను పిలిచాడు.          ,Tom afternoon time లో call చేశాడు.,Tom afternoon time lo call chesadu.
Tom read Mary a bedtime story.,టామ్ మేరీకి నిద్రవేళ కథ చదివాడు.          ,Tom Maryకి bedtime story చదివాడు.,Tom Mary ki bedtime story chadivadu.
There's the bell.,గంట ఉంది.          ,There's the  గంట,There's the ganta
Are you good at remembering faces?,మీరు ముఖాలను గుర్తుంచుకోవడంలో మంచివా?          ,Faces recognize చేయడంలో మీరు good?,Faces recognize cheyadamlo meeru good?
Tom and Mary wanted to be together.,టామ్ మరియు మేరీ కలిసి ఉండాలని కోరుకున్నారు.          ,Tom and Mary కలసి ఉండాలని wish చేసారు.,Tom and Mary kalisi undaalani wish chesaru.
Tom's wicked.,టామ్ యొక్క దుష్ట.          ,టామ్  wicked.,Tom wicked
You must try and come to the party.,మీరు తప్పక ప్రయత్నించాలి మరియు పార్టీకి రావాలి.          ,Party కి రావడానికి try చేయండి.,Party ki raavadaniki try cheyyandi.
You saw them  didn't you?,మీరు వాటిని చూశారు  లేదా?        ,you వాటిని చూశారు లేదా?,you vatini chusara ledaa
The doctor took his pulse.,డాక్టర్ అతని పల్స్ తీసుకున్నాడు.          ,Doctor అతని pulse check చేశాడు.,Doctor atani pulse check chesadu
We're thinking about putting our house up for sale.,మేము మా ఇంటిని అమ్మకానికి పెట్టడం గురించి ఆలోచిస్తున్నాము.          ,మేము మా house sale కి పెట్టాలని thinking లో ఉన్నాం.,Memu maa house sale ki pettalani thinking lo unnaam.
Would you please pour me a cup of coffee?,దయచేసి నాకు ఒక కప్పు కాఫీ పోయాలా?          ,Can you please నాకు coffee serve చేస్తారా?,Can you please naaku coffee serve chesthaara?
We kept together for safety.,మేము భద్రత కోసం కలిసి ఉంచాము.          ,Safety కోసం మేమంతా together ఉన్నాం.,Safety kosam memantaa together unnaam.
Tom is eating a cake.,టామ్ కేక్ తింటున్నాడు.          ,Tom కేక్ తింటున్నాడు.,Tom cake tintunnadu.
Mary's not pretty  but she isn't ugly  either.,మేరీ అందంగా లేదు  కానీ ఆమె అగ్లీ కాదు.       ,Mary pretty కాదు కానీ ugly కూడా కాదు.,Mary pretty kaadu kaani ugly kuda kaadu.
I'm sorry  you have the wrong number.,క్షమించండి  మీకు తప్పు సంఖ్య ఉంది.        ,"Sorry, మీకు wrong number ఉంది.","Sorry, meeku wrong number undi."
He is a man of his word.,అతను తన మాటలోని వ్యక్తి.          ,అతను తన word కి నిలబడే మనిషి.,Athanu tana word ki nilabade manishi.
He always took a seat in the front row.,అతను ఎప్పుడూ ముందు వరుసలో ఒక సీటు తీసుకున్నాడు.          ,అతను always front row లో seat తీసుకున్నాడు.,Athanu always front row lo seat theeskunaadu.
I know the boy.,నాకు అబ్బాయి తెలుసు.          ,That boy నాకు తెలుసు.,That boy naaku thelusu.
He was not about to admit his mistake.,అతను తన తప్పును అంగీకరించడం లేదు.          ,తన mistake admit చేయలేదట,Tana mistake admit cheyaledata.
I don't think I can do everything by myself.,నేను ప్రతిదాన్ని స్వయంగా చేయగలనని నేను అనుకోను.          ,Everything నేను myself చేయలేనని అనుకుంటున్నాను.,Everything nenu myself  cheyalenani anukuntunnanu.
I suppose you'll be studying all day tomorrow.,మీరు రేపు రోజంతా చదువుతారని అనుకుందాం.          ,I guess మీరు tomorrow all day study చేస్తారు.,I guess meeru tomorrow all  day study chestaru.
Mary is Tom's daughter-in-law.,మేరీ టామ్ యొక్క అల్లుడు.          ,Mary అనేది Tom యొక్క daughter-in-law.,Mary anedi Tom yokka daughter-in-law.
I'll go if you will.,మీరు కోరుకుంటే నేను వెళ్తాను.          ,You వస్తే I will also go.,You vaste I will also go.
Tom tried to hide his confusion.,టామ్ తన గందరగోళాన్ని దాచడానికి ప్రయత్నించాడు.          ,Tom tried to hide తన confusion.,Tom tried to hide tana confusion.
You're turning red.,మీరు ఎరుపు రంగులోకి మారుతున్నారు.          ,You red అవుతున్నారు.,You red avutunnaru.
I will accept the work  provided that you help me.,మీరు నాకు సహాయం చేస్తే నేను పనిని అంగీకరిస్తాను.         ,"నీవు help చేస్తే, నేను work accept చేస్తాను","Neevu help chesthe, nenu work accept chesthanu"
Tom didn't seem happy to see me.,టామ్ నన్ను చూడటం సంతోషంగా అనిపించలేదు.          ,Tom happy feel కాలేదు when he saw me.,Tom happy feel kaaledu when he saw me.
My watch loses three minutes a week.,నా గడియారం వారానికి మూడు నిమిషాలు కోల్పోతుంది.          ,My watch ప్రతి week 3 minutes lose అవుతుంది.,My watch prati week 3 minutes lose avutundi.
Why can't Tom leave?,టామ్ ఎందుకు వెళ్ళలేడు?          ,Tom ఎందుకు leave కాలేడు?,Tom enduku leave kaaledu?
The poor girl went blind.,పేద అమ్మాయి అంధురాలైంది.          ,Poor girl blind అయింది.,Poor girl blind ayyindi.
I found out something interesting today.,నేను ఈ రోజు ఆసక్తికరమైన విషయం కనుగొన్నాను.          ,Today I found out ఒక interesting విషయాన్ని.,Today I found out oka interesting vishayanni.
Tom loaded the truck with sand.,టామ్ ఇసుకతో ట్రక్కును ఎక్కించాడు.          ,Tom truck లో sand load చేశాడు.,Tom truck lo sand load chesadu.
They don't understand me when I speak German.,నేను జర్మన్ మాట్లాడేటప్పుడు వారు నన్ను అర్థం చేసుకోరు.          ,"When I speak German, వాళ్ళు నన్ను understand చేసుకోరు.","When I speak German, vaallu nannu understand chesukoru"
Tom is the only person who can do that  I think.,టామ్ మాత్రమే అలా చేయగలడు  నేను అనుకుంటున్నాను.        ,Only Tom ఆ పని చేయగలడని నాకు అనిపిస్తుంది.,Only Tom aa pani cheyagaladani naaku anipistundi.
I know why Tom agreed to do that.,టామ్ ఎందుకు అలా అంగీకరించాడో నాకు తెలుసు.          ,Tom reason for agree అవ్వడం నాకు తెలుసు.,Tom reason for agree avvadam naaku thelusu.
Tom turned down the radio.,టామ్ రేడియోను తిరస్కరించాడు.          ,Tom radio volume  తక్కువ మార్చాడు.,Tom radio volume Takkuva Marchadu.
She was asked not to speak at the meeting.,సమావేశంలో మాట్లాడవద్దని ఆమెను కోరారు.          ,Meeting లో మాట్లాడవద్దని ఆమెను asked చేశారు.,Meeting lo matladavaddani aameni asked chesaru.
I'm not sure if I'm going to be able to be there on time.,నేను సమయానికి అక్కడ ఉండగలనా అని నాకు తెలియదు.          ,Time కి అక్కడ ఉండగలనో నాకు sure లేదు.,Time ki akkada undagalano naaku sure ledu.
The damage was covered by insurance.,నష్టం భీమా పరిధిలోకి వచ్చింది.          ,Damage భీమా ద్వారా కవర్ అయింది.,Damage bheema dwara cover ayyindi.
There was a bridge across each river.,ప్రతి నదికి ఒక వంతెన ఉండేది.          ,ప్రతి riverకి ఒక bridge ఉండేది.,Prathi river ki oka bridge undedi.
I've got a little problem.,నాకు కొద్దిగా సమస్య వచ్చింది.          ,నాకు little problem వచ్చింది.,Naaku little problem vachhindi.
Tom can't afford to buy a yacht.,టామ్ ఒక పడవ కొనడానికి భరించలేడు.          ,Tom yacht కొనడానికి afford కాదు.,Tom yacht konadaniki afford kaadu.
The policeman put handcuffs on Tom.,పోలీసు టామ్‌పై హస్తకళలు పెట్టాడు.          ,Policeman Tom మీద handcuffs పెట్టాడు.,Policeman Tom meeda handcuffs pettadu.
I value my privacy.,నా గోప్యతకు నేను విలువ ఇస్తున్నాను.          ,నా privacyకి నేను value ఇస్తున్నాను.,Naa privacy ki nenu value istunnanu.
Stop protecting me.,నన్ను రక్షించడం ఆపు.          ,Nannu protect cheyyadam ఆపు.,Nannu protect cheyyadam aapu
Please accept my apology.,దయచేసి నా క్షమాపణను అంగీకరించండి.          ,Please నా apology accept అంగీకరించండి .,Please naa apology accept Angikarinchandi.
I've already spoken to Tom about that.,నేను ఇప్పటికే టామ్‌తో దాని గురించి మాట్లాడాను.          ,నేను already Tom తో ఆ విషయంపై మాట్లాడాను,Nenu already Tom tho aa vishayampai maatladanu.
I wonder if Tom would really do something like that.,టామ్ నిజంగా అలాంటిదే చేస్తాడా అని నేను ఆశ్చర్యపోతున్నాను.          ,Tom really అలాంటి దాన్ని చేస్తాడా అని wonder అవుతున్నాను.,Tom really alanti daanni chestada ani wonder avutunnanu.
Tom taught me to play chess.,టామ్ నాకు చెస్ ఆడటం నేర్పించాడు.          ,Tom నాకు chess ఆడటం నేర్పించాడు.,Tom naaku chess aadatam nerpinchadu.
I just got here this morning.,నేను ఈ ఉదయం ఇక్కడకు వచ్చాను.          ,నేను this morning ఇక్కడికి వచ్చాను.,Nenu this morning ikkadiki vachhanu.
Tom is between jobs.,టామ్ ఉద్యోగాల మధ్య ఉన్నాడు.          ,Tom jobs మధ్యలో ఉన్నాడు.,Tom jobs madhyalo unnadu.
Tom certainly knew about the problem.,టామ్ ఖచ్చితంగా సమస్య గురించి తెలుసు.          ,Tom కచ్చితంగా problem గురించి తెలుసు.,Tom kachchitanga problem gurinchi telusu.
OK  I think we can begin.,సరే  మనం ప్రారంభించవచ్చని అనుకుంటున్నాను.        ,"OK, I think మనం start చేయొచ్చు.","OK, I think manam start cheyochu."
My grandfather has gray hair.,నా తాతకు బూడిద జుట్టు ఉంది.          ,నా grandfatherకి gray hair ఉంది.,Naa grandfather ki gray hair undi.
Could you give me a lift home?,మీరు నాకు లిఫ్ట్ హోమ్ ఇవ్వగలరా?          ,Naku homeకి lift ఇచ్చేలా చూడగలరా?,Naku home ki lift icchela choodagalara?
The librarian looked quite sick.,లైబ్రేరియన్ చాలా అనారోగ్యంగా కనిపించాడు.          ,Librarian చాలా sick గా కనిపించాడు.,Librarian chaala sick gaa kanipinchadu.
How much money do you think Tom makes?,టామ్ ఎంత డబ్బు సంపాదించాడని మీరు అనుకుంటున్నారు?          ,Tom ఎంత money earn చేస్తున్నాడో do you think?,Tom entha money earn chesthunado do you think?
Tom wants to end this.,టామ్ దీనిని అంతం చేయాలనుకుంటున్నాడు.          ,Tom దీనిని end చేయాలనుకుంటున్నాడు.,Tom deeni end cheyyalanukuntunnadu.
Tom is still learning the rules.,టామ్ ఇప్పటికీ నియమాలను నేర్చుకుంటున్నాడు.          ,Tom still rules నేర్చుకుంటున్నాడు.,Tom still rules nerchukuntunnadu.
How could I've let that happen?,నేను దానిని ఎలా చేయగలను?          ,Nenu అది happen అనుమతించాను ఎలా?,Nenu adi happen anumathinchanu ela?
It's there now.,ఇది ఇప్పుడు ఉంది.          ,It’s ఇప్పుడు ఉంది.,It’s Ippudu undi
Not a sound was heard.,శబ్దం వినబడలేదు.          ,Not sound కూడా వినపడలేదు.,Not sound kuda vinapadaledu.
Tom knew I was jealous.,టామ్ నాకు అసూయ ఉందని తెలుసు.          ,Tom knew నేను jealous అని.,Tom knew nenu jealous ani.
I don't care what people think.,ప్రజలు ఏమనుకుంటున్నారో నేను పట్టించుకోను.          ,People ఏమనుకుంటున్నారో I don’t care.,People em anukuntunnaro I don’t care.
I've read somewhere that it's not true.,ఇది నిజం కాదని నేను ఎక్కడో చదివాను.          ,I've read అది true కాదు అని.,I read adi true kaadu ani.
